type,start,duration,vpid,pid,title,direction,delta
episode,00:00:21,PT1H58M31.04S,m001mx88,b036nft9,Best of Glastonbury 2013,,
episode,01:58:31,PT2H8M47.04S,b07k42cx,b07k42d0,Best of Glastonbury 2016,,
episode,04:07:18,PT2H5M54.04S,b08wwnzy,b08wwp0s,Best of Glastonbury 2017,,
episode,06:13:12,PT2H4M10.04S,m0006hfj,m0006hfk,Best of Glastonbury 2019,,
episode,08:17:22,PT1H58M31.04S,m001mx88,b036nft9,Best of Glastonbury 2013,,
episode,10:15:53,PT2H8M47.04S,b07k42cx,b07k42d0,Best of Glastonbury 2016,,
episode,12:24:40,PT2H5M54.04S,b08wwnzy,b08wwp0s,Best of Glastonbury 2017,,
episode,14:30:34,PT2H4M10.04S,m0006hfj,m0006hfk,Best of Glastonbury 2019,,
episode,16:34:45,PT1H58M31.04S,m001mx88,b036nft9,Best of Glastonbury 2013,,
episode,18:33:16,PT2H8M47.04S,b07k42cx,b07k42d0,Best of Glastonbury 2016,,
episode,20:42:03,PT2H5M54.04S,b08wwnzy,b08wwp0s,Best of Glastonbury 2017,,
clip,22:47:56,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,22:49:31,PT1M8S,p023lkf6,,,,
clip,22:50:39,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.518607
,22:52:13,PT1M8S,p023lkf6,,,late,0.884796
clip,22:53:22,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,22:54:56,PT1M8S,p023lkf6,,,,
clip,22:56:04,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.541273
,22:57:39,PT1M8S,p023lkf6,,,late,0.909517
clip,22:58:48,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:00:22,PT1M8S,p023lkf6,,,,
clip,23:01:30,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.530509
,23:03:05,PT1M8S,p023lkf6,,,late,0.895233
clip,23:04:16,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:05:51,PT1M8S,p023lkf6,,,,
clip,23:06:59,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.550046
,23:08:33,PT1M8S,p023lkf6,,,late,0.909588
clip,23:09:42,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:11:16,PT1M8S,p023lkf6,,,,
clip,23:12:24,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.525638
,23:13:58,PT1M8S,p023lkf6,,,late,0.879157
clip,23:15:07,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:16:41,PT1M8S,p023lkf6,,,,
clip,23:17:49,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.524464
,23:19:24,PT1M8S,p023lkf6,,,late,0.898246
clip,23:20:32,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:22:07,PT1M8S,p023lkf6,,,,
clip,23:23:15,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.542274
,23:24:49,PT1M8S,p023lkf6,,,late,0.919467
clip,23:25:59,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:27:33,PT1M8S,p023lkf6,,,,
clip,23:28:41,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.537532
,23:30:15,PT1M8S,p023lkf6,,,late,0.905257
clip,23:31:24,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:32:58,PT1M8S,p023lkf6,,,,
clip,23:34:07,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.552136
,23:35:41,PT1M8S,p023lkf6,,,late,0.911267
clip,23:36:49,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:38:24,PT1M8S,p023lkf6,,,,
clip,23:39:32,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.543454
,23:41:06,PT1M8S,p023lkf6,,,late,0.909351
clip,23:42:15,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:43:49,PT1M8S,p023lkf6,,,,
clip,23:44:57,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.542908
,23:46:32,PT1M8S,p023lkf6,,,late,0.895374
clip,23:47:41,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:49:15,PT1M8S,p023lkf6,,,,
clip,23:50:24,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.52475
,23:51:58,PT1M8S,p023lkf6,,,late,0.902748
clip,23:53:07,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
,23:54:41,PT1M8S,p023lkf6,,,,
clip,23:55:49,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,late,0.536666
,23:57:23,PT1M8S,p023lkf6,,,late,0.879237
clip,23:58:32,PT1M34S,p02bqgr0,p02bqgqv,Get more out of BBC iPlayer,,
